CMDLINE /home/moon/anaconda3/envs/ultra/bin/python3.7 main.py --config_file config/profile_amazon_config.ini
MEM 1.785156 1662624232.4692
MEM 28.593750 1662624232.5696
MEM 44.925781 1662624232.6701
MEM 148.609375 1662624232.7704
MEM 187.011719 1662624232.8707
MEM 224.554688 1662624232.9711
MEM 246.328125 1662624233.0714
MEM 268.609375 1662624233.1717
MEM 290.339844 1662624233.2720
MEM 312.003906 1662624233.3723
MEM 317.648438 1662624233.4727
MEM 335.675781 1662624233.5730
MEM 331.902344 1662624233.6734
MEM 256.875000 1662624233.7737
MEM 272.621094 1662624233.8740
MEM 289.425781 1662624233.9744
MEM 311.082031 1662624234.0747
MEM 332.996094 1662624234.1751
MEM 351.300781 1662624234.2755
MEM 379.917969 1662624234.3758
MEM 410.339844 1662624234.4762
MEM 440.761719 1662624234.5765
MEM 448.753906 1662624234.6768
MEM 496.964844 1662624234.7772
MEM 497.222656 1662624234.8775
MEM 557.550781 1662624234.9779
MEM 557.550781 1662624235.0783
MEM 608.339844 1662624235.1786
MEM 633.089844 1662624235.2790
MEM 633.089844 1662624235.3793
MEM 694.191406 1662624235.4797
MEM 698.832031 1662624235.5800
MEM 698.832031 1662624235.6803
MEM 724.074219 1662624235.7807
MEM 726.324219 1662624235.8809
MEM 728.824219 1662624235.9811
MEM 731.824219 1662624236.0813
MEM 734.574219 1662624236.1815
MEM 742.574219 1662624236.2818
MEM 745.574219 1662624236.3820
MEM 748.324219 1662624236.4822
MEM 751.324219 1662624236.5824
MEM 754.324219 1662624236.6827
MEM 767.074219 1662624236.7830
MEM 770.074219 1662624236.8832
MEM 772.824219 1662624236.9835
MEM 775.824219 1662624237.0837
MEM 778.824219 1662624237.1839
